sort,average_clustering,transitivity,global_efficiency,reciprocity,average_degree,nodes,edges
90,0.257445954,0.202251219,0.337266708,0.48957003,10.7628866,873,4698
91,0.253787943,0.191628584,0.335664854,0.48072367,10.81024447,859,4643
92,0.260712691,0.201744014,0.337942377,0.508083141,10.71782178,808,4330
93,0.246187124,0.210793116,0.339814718,0.517057322,10.89506953,791,4309
94,0.236257622,0.207356531,0.333353919,0.494728722,10.44026846,745,3889
95,0.251659329,0.210967082,0.33527005,0.511688994,10.53112033,723,3807
96,0.267358464,0.22882398,0.328195038,0.536363636,10.53521127,710,3740
97,0.282690958,0.224348189,0.332548538,0.555332999,10.85326087,736,3994
98,0.247454838,0.204727912,0.330692698,0.505060241,10.36204744,801,4150
99,0.251136867,0.200265081,0.334815953,0.503711034,10.41752577,776,4042
100,0.23240592,0.206317769,0.329028733,0.497357161,10.30609598,771,3973
101,0.262885717,0.218204018,0.333356196,0.528365792,10.40528634,681,3543
102,0.294906388,0.212838124,0.34303722,0.531753866,9.947626841,611,3039
103,0.260050143,0.21878729,0.335760993,0.50955414,9.841791045,670,3297
104,0.240204893,0.213486364,0.33270289,0.512849478,9.891061453,716,3541
105,0.248296458,0.192114301,0.331752352,0.514689266,9.957805907,711,3540
